frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,192.168.1.50,192.168.1.1,DNS,,,51514,53,84
2,0.001210,192.168.1.1,192.168.1.50,DNS,,,53,51514,180
3,0.045000,192.168.1.50,93.184.216.34,TCP,49870,443,,,74
4,0.046500,93.184.216.34,192.168.1.50,TCP,443,49870,,,74
5,0.047100,192.168.1.50,93.184.216.34,TCP,49870,443,,,66
6,0.090000,192.168.1.50,93.184.216.34,TLSv1.3,49870,443,,,571
7,0.135000,93.184.216.34,192.168.1.50,TLSv1.3,443,49870,,,1454
8,0.135900,93.184.216.34,192.168.1.50,TLSv1.3,443,49870,,,1454
9,0.136400,93.184.216.34,192.168.1.50,TLSv1.3,443,49870,,,820
10,0.180000,192.168.1.50,93.184.216.34,TCP,49870,443,,,66
11,0.250000,192.168.1.50,8.8.8.8,DNS,,,52001,53,90
12,0.251500,8.8.8.8,192.168.1.50,DNS,,,53,52001,212
13,1.000000,192.168.1.50,10.0.0.99,TCP,50122,22,,,74
14,1.002000,10.0.0.99,192.168.1.50,TCP,22,50122,,,74
15,1.003000,192.168.1.50,10.0.0.99,SSH,50122,22,,,98
16,1.050000,10.0.0.99,192.168.1.50,SSH,22,50122,,,1066
17,1.200000,192.168.1.50,224.0.0.251,MDNS,,,5353,5353,120
18,2.500000,192.168.1.77,192.168.1.255,NBNS,,,137,137,92
19,3.100000,192.168.1.50,93.184.216.34,TLSv1.3,49870,443,,,98
20,3.150000,93.184.216.34,192.168.1.50,TLSv1.3,443,49870,,,98
