frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,10.0.0.66,10.0.0.10,TCP,40001,21,,,58
2,0.000800,10.0.0.66,10.0.0.10,TCP,40002,22,,,58
3,0.001600,10.0.0.66,10.0.0.10,TCP,40003,23,,,58
4,0.002400,10.0.0.66,10.0.0.10,TCP,40004,25,,,58
5,0.003200,10.0.0.66,10.0.0.10,TCP,40005,53,,,58
6,0.004000,10.0.0.66,10.0.0.10,TCP,40006,80,,,58
7,0.004800,10.0.0.66,10.0.0.10,TCP,40007,110,,,58
8,0.005600,10.0.0.66,10.0.0.10,TCP,40008,135,,,58
9,0.006400,10.0.0.66,10.0.0.10,TCP,40009,139,,,58
10,0.007200,10.0.0.66,10.0.0.10,TCP,40010,143,,,58
11,0.008000,10.0.0.66,10.0.0.10,TCP,40011,443,,,58
12,0.008800,10.0.0.66,10.0.0.10,TCP,40012,445,,,58
13,0.009600,10.0.0.66,10.0.0.10,TCP,40013,993,,,58
14,0.010400,10.0.0.66,10.0.0.10,TCP,40014,995,,,58
15,0.011200,10.0.0.66,10.0.0.10,TCP,40015,1433,,,58
16,0.012000,10.0.0.66,10.0.0.10,TCP,40016,3306,,,58
17,0.012800,10.0.0.66,10.0.0.10,TCP,40017,3389,,,58
18,0.013600,10.0.0.66,10.0.0.10,TCP,40018,5432,,,58
19,0.014400,10.0.0.66,10.0.0.10,TCP,40019,5900,,,58
20,0.015200,10.0.0.66,10.0.0.10,TCP,40020,8080,,,58
21,0.020000,10.0.0.10,10.0.0.66,TCP,22,40002,,,58
22,0.020800,10.0.0.10,10.0.0.66,TCP,80,40006,,,58
23,0.021600,10.0.0.10,10.0.0.66,TCP,443,40011,,,58
24,0.022400,10.0.0.10,10.0.0.66,TCP,445,40012,,,58
25,0.500000,10.0.0.50,10.0.0.10,TLSv1.2,51000,443,,,512
