frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,192.168.10.23,203.0.113.45,TCP,49600,8443,,,66
2,0.030000,203.0.113.45,192.168.10.23,TCP,8443,49600,,,66
3,0.061000,192.168.10.23,203.0.113.45,TLSv1.2,49600,8443,,,180
4,0.120000,203.0.113.45,192.168.10.23,TLSv1.2,8443,49600,,,140
5,60.000000,192.168.10.23,203.0.113.45,TCP,49612,8443,,,66
6,60.031000,203.0.113.45,192.168.10.23,TCP,8443,49612,,,66
7,60.062000,192.168.10.23,203.0.113.45,TLSv1.2,49612,8443,,,180
8,60.121000,203.0.113.45,192.168.10.23,TLSv1.2,8443,49612,,,140
9,120.000000,192.168.10.23,203.0.113.45,TCP,49625,8443,,,66
10,120.030000,203.0.113.45,192.168.10.23,TCP,8443,49625,,,66
11,120.061000,192.168.10.23,203.0.113.45,TLSv1.2,49625,8443,,,180
12,120.122000,203.0.113.45,192.168.10.23,TLSv1.2,8443,49625,,,140
13,180.000000,192.168.10.23,203.0.113.45,TCP,49640,8443,,,66
14,180.029000,203.0.113.45,192.168.10.23,TCP,8443,49640,,,66
15,180.061000,192.168.10.23,203.0.113.45,TLSv1.2,49640,8443,,,180
16,180.120000,203.0.113.45,192.168.10.23,TLSv1.2,8443,49640,,,140
17,240.000000,192.168.10.23,203.0.113.45,TCP,49655,8443,,,66
18,240.031000,203.0.113.45,192.168.10.23,TCP,8443,49655,,,66
19,240.062000,192.168.10.23,203.0.113.45,TLSv1.2,49655,8443,,,180
20,240.121000,203.0.113.45,192.168.10.23,TLSv1.2,8443,49655,,,140
21,15.300000,192.168.10.23,192.168.10.1,DNS,,,55012,53,76
22,15.302000,192.168.10.1,192.168.10.23,DNS,,,53,55012,140
