frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,192.168.5.40,198.51.100.77,TCP,52000,443,,,74
2,0.040000,198.51.100.77,192.168.5.40,TCP,443,52000,,,74
3,0.041000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,571
4,0.090000,198.51.100.77,192.168.5.40,TLSv1.3,443,52000,,,1454
5,0.200000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
6,0.201000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
7,0.202000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
8,0.203000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
9,0.204000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
10,0.205000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
11,0.206000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
12,0.207000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
13,0.208000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
14,0.209000,192.168.5.40,198.51.100.77,TLSv1.3,52000,443,,,1454
15,0.210000,198.51.100.77,192.168.5.40,TCP,443,52000,,,66
16,0.300000,192.168.5.40,192.168.5.1,DNS,,,60100,53,82
17,0.302000,192.168.5.1,192.168.5.40,DNS,,,53,60100,150
18,0.500000,192.168.5.40,93.184.216.34,TLSv1.3,52010,443,,,571
19,0.560000,93.184.216.34,192.168.5.40,TLSv1.3,443,52010,,,820
20,0.600000,192.168.5.40,93.184.216.34,TLSv1.3,52010,443,,,98
