frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,192.168.20.15,192.168.20.1,DNS,,,61001,53,312
2,0.005000,192.168.20.1,192.168.20.15,DNS,,,53,61001,140
3,0.100000,192.168.20.15,192.168.20.1,DNS,,,61002,53,318
4,0.104000,192.168.20.1,192.168.20.15,DNS,,,53,61002,135
5,0.200000,192.168.20.15,192.168.20.1,DNS,,,61003,53,322
6,0.205000,192.168.20.1,192.168.20.15,DNS,,,53,61003,138
7,0.300000,192.168.20.15,192.168.20.1,DNS,,,61004,53,309
8,0.305000,192.168.20.1,192.168.20.15,DNS,,,53,61004,142
9,0.400000,192.168.20.15,192.168.20.1,DNS,,,61005,53,320
10,0.404000,192.168.20.1,192.168.20.15,DNS,,,53,61005,139
11,0.500000,192.168.20.15,192.168.20.1,DNS,,,61006,53,316
12,0.505000,192.168.20.1,192.168.20.15,DNS,,,53,61006,141
13,0.600000,192.168.20.15,192.168.20.1,DNS,,,61007,53,324
14,0.604000,192.168.20.1,192.168.20.15,DNS,,,53,61007,137
15,0.700000,192.168.20.15,192.168.20.1,DNS,,,61008,53,311
16,0.705000,192.168.20.1,192.168.20.15,DNS,,,53,61008,140
17,0.800000,192.168.20.20,192.168.20.1,DNS,,,52000,53,78
18,0.804000,192.168.20.1,192.168.20.20,DNS,,,53,52000,150
19,1.000000,192.168.20.20,151.101.0.10,TLSv1.3,49500,443,,,571
20,1.080000,151.101.0.10,192.168.20.20,TLSv1.3,443,49500,,,1454
