No.	Time	Source	Destination	Protocol	Length
1	0.000000	172.16.4.10	172.16.4.20	ARP	42
2	0.001000	172.16.4.20	172.16.4.10	ARP	60
3	0.050000	172.16.4.10	172.16.4.20	ICMP	98
4	0.051000	172.16.4.20	172.16.4.10	ICMP	98
5	0.100000	172.16.4.10	172.16.4.20	ICMP	98
6	0.101000	172.16.4.20	172.16.4.10	ICMP	98
7	0.500000	172.16.4.10	224.0.0.22	IGMP	60
8	1.000000	fe80::1	ff02::1	ICMPv6	86
9	1.200000	172.16.4.10	172.16.4.255	NBNS	92
10	2.000000	172.16.4.30	172.16.4.20	TCP	66
11	2.001000	172.16.4.20	172.16.4.30	TCP	66
12	2.002000	172.16.4.30	172.16.4.20	TCP	1514
