frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,192.168.1.101,192.168.1.1,DNS,,,50001,53,80
2,0.002000,192.168.1.1,192.168.1.101,DNS,,,53,50001,160
3,0.050000,192.168.1.101,140.82.112.3,TCP,50100,443,,,74
4,0.090000,140.82.112.3,192.168.1.101,TCP,443,50100,,,74
5,0.130000,192.168.1.101,140.82.112.3,TLSv1.3,50100,443,,,571
6,0.180000,140.82.112.3,192.168.1.101,TLSv1.3,443,50100,,,1454
7,0.181000,140.82.112.3,192.168.1.101,TLSv1.3,443,50100,,,1454
8,0.182000,140.82.112.3,192.168.1.101,TLSv1.3,443,50100,,,980
9,0.300000,192.168.1.102,192.168.1.1,DNS,,,50500,53,82
10,0.302000,192.168.1.1,192.168.1.102,DNS,,,53,50500,150
11,0.400000,192.168.1.102,142.250.80.46,TCP,50600,443,,,74
12,0.450000,142.250.80.46,192.168.1.102,TLSv1.3,443,50600,,,1454
13,0.451000,142.250.80.46,192.168.1.102,TLSv1.3,443,50600,,,1454
14,0.600000,192.168.1.103,192.168.1.10,TCP,50700,445,,,74
15,0.640000,192.168.1.10,192.168.1.103,TCP,445,50700,,,74
16,0.660000,192.168.1.103,192.168.1.10,SMB2,50700,445,,,320
17,0.700000,192.168.1.10,192.168.1.103,SMB2,445,50700,,,512
18,1.000000,192.168.1.101,192.168.1.255,NBNS,,,137,137,92
19,1.500000,192.168.1.104,224.0.0.251,MDNS,,,5353,5353,120
20,2.000000,192.168.1.102,17.253.144.10,NTP,,,123,123,90
