frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000,10.20.0.50,10.20.0.11,TCP,52001,445,,,74
2,0.020000,10.20.0.11,10.20.0.50,TCP,445,52001,,,74
3,0.040000,10.20.0.50,10.20.0.11,SMB2,52001,445,,,396
4,0.100000,10.20.0.50,10.20.0.12,TCP,52002,445,,,74
5,0.120000,10.20.0.12,10.20.0.50,TCP,445,52002,,,74
6,0.140000,10.20.0.50,10.20.0.12,SMB2,52002,445,,,396
7,0.200000,10.20.0.50,10.20.0.13,TCP,52003,445,,,74
8,0.220000,10.20.0.13,10.20.0.50,TCP,445,52003,,,74
9,0.240000,10.20.0.50,10.20.0.13,SMB2,52003,445,,,396
10,0.300000,10.20.0.50,10.20.0.14,TCP,52004,445,,,74
11,0.320000,10.20.0.14,10.20.0.50,TCP,445,52004,,,74
12,0.340000,10.20.0.50,10.20.0.14,SMB2,52004,445,,,396
13,0.400000,10.20.0.50,10.20.0.15,TCP,52005,445,,,74
14,0.420000,10.20.0.15,10.20.0.50,TCP,445,52005,,,74
15,0.440000,10.20.0.50,10.20.0.15,SMB2,52005,445,,,396
16,0.500000,10.20.0.50,10.20.0.16,TCP,52006,445,,,74
17,0.520000,10.20.0.16,10.20.0.50,TCP,445,52006,,,74
18,0.540000,10.20.0.50,10.20.0.16,SMB2,52006,445,,,396
19,1.000000,10.20.0.60,10.20.0.11,SMB2,49888,445,,,512
20,1.050000,10.20.0.11,10.20.0.60,SMB2,445,49888,,,1380
